Latitude,Longitude
1.4409,103.78314
1.31077,103.87346
1.28848,103.84682
1.28111,103.84915
1.33976,103.95
1.28547,103.8376
1.30774,103.79118
1.30379,103.83336
1.28856,103.84482
1.43076,103.77667
1.37741,103.8445
1.30412,103.84939
1.34943,103.92806
1.29618,103.85383
1.35006,103.94019
1.28755,103.84618
1.33673,103.69633
1.40713,103.75028
1.32648,103.9439
1.31285,103.85983
1.34932,103.71221
1.38649,103.89732
1.32069,103.85982
1.39927,103.89569
1.43012,103.82696
1.33389,103.96336
1.31037,103.7187
1.3269,103.85826
1.298,103.88619
1.3042,103.8685
1.30372,103.84054
1.32643,103.84243
1.35348,103.83436
1.30819,103.76109
1.35153,103.84765
1.3194,103.76299
1.40361,103.81832
1.29173,103.80448
1.33213,103.89851
1.33505,103.7448
1.37028,103.95707
1.34573,103.89229
1.31163,103.87555
1.32583,103.89699
1.28404,103.81867
1.37003,103.85709
1.36578,103.96203
1.3295,103.84568
1.28249,103.82146
1.33366,103.76351
1.33845,103.85063
1.37806,103.89292
1.35794,103.99099
1.3283,103.9112
1.32522,103.7248
1.28287,103.85976
1.33728,103.80879
1.35984,103.83673
1.31836,103.76845
1.41803,103.84029
1.37812,103.75313
1.31612,103.89541
1.33186,103.91423
1.30688,103.81875
1.34829,103.94899
1.36799,103.84125
1.31617,103.82683
1.34574,103.89189
1.30159,103.83849
1.3262,103.90575
1.31211,103.79588
1.3838,103.84315
1.33661,103.95139
1.33455,103.94324
1.37829,103.73786
1.28323,103.84343
1.33447,103.8667
1.34709,103.88067
1.27278,103.8417
1.38918,103.90644
1.39283,103.74544
1.30229,103.91374
1.28031,103.85206
1.30613,103.81706
1.31338,103.87498
1.29165,103.85959
1.31082,103.8437
1.38941,103.89229
1.28623,103.83849
1.27987,103.84792
1.30179,103.85012
1.35432,103.96379
1.27387,103.84214
1.30336,103.83471
1.34569,103.73136
1.28156,103.82368
1.36923,103.89482
1.39036,103.75112
1.2827,103.85974
1.33186,103.94721
1.35725,103.94724
1.31329,103.88307
1.30408,103.85443
1.31068,103.87326
1.33699,103.70475
1.38541,103.84823
1.35011,103.72518
1.37355,103.87577
1.4434,103.83612
1.38252,103.76966
1.28024,103.84403
1.30849,103.82745
1.33112,103.81918
1.30121,103.83915
1.31243,103.87862
1.37707,103.8901
1.44147,103.80203
1.37215,103.76323
1.27912,103.84324
1.28258,103.82122
1.42676,103.84736
1.2918,103.84297
1.36396,103.87351
1.25464,103.8254
1.37221,103.96809
1.34646,103.8924
1.31073,103.84465
1.3458,103.88465
1.37818,103.7357
1.31268,103.88047
1.33966,103.96097
1.31037,103.84429
1.36056,103.83878
1.31141,103.88072
1.36072,103.84062
1.28543,103.79898
1.35152,103.98517
1.32002,103.90324
1.43848,103.77042
1.28162,103.82424
1.42954,103.83015
1.28567,103.84725
1.30491,103.85173
1.31242,103.87839
1.4013,103.74444
1.38602,103.7655
1.2918,103.84544
